No.,공고번호,공고명,구분,기관명,예산,마감일,업종제한,원문링크
1,20260500001,OO초등학교 그린스마트스쿨 개축공사,공사,OO교육지원청,"1,200,000,000",2026-06-03 오전 10:00,업종: 건축공사업,https://example.com/notices/20260500001
2,20260500002,행정복지센터 안내 장비 구매,물품,OO시청,"85,000,000",2026-06-01 오후 2:00,,https://example.com/notices/20260500002
3,20260500003,전기설비 정기점검 용역,용역,OO시설관리공단,"42,000,000",2026-06-02 오전 9:00,업종: 전기안전관리,https://example.com/notices/20260500003
4,20260500004,스마트시티 플랫폼 구축,내자,OO정보산업진흥원,,2026-06-10 오후 4:00,,https://example.com/notices/20260500004
5,20260500005,청사 옥상 방수 보수공사,공사,OO구청,"210,000,000",2026-05-31 오전 11:00,업종: 시설물유지관리업,https://example.com/notices/20260500005
6,20260500006,실험실 기자재 납품,물품,OO대학교,"63,000,000",2026-06-07 오전 10:00,,https://example.com/notices/20260500006
7,20260500007,하수관로 정밀조사 용역,용역,OO상하수도사업소,"99,000,000",2026-06-08 오후 3:00,업종: 엔지니어링사업,https://example.com/notices/20260500007
8,20260500008,공공도서관 리모델링 전기공사,공사,OO문화재단,"340,000,000",2026-06-05 오전 10:00,업종: 전기공사업,https://example.com/notices/20260500008
9,20260500009,급식실 식기세척기 구입,내자,OO고등학교,"18,000,000",2026-06-04 오후 1:00,,https://example.com/notices/20260500009
10,20260500010,공공시설 위탁운영 용역,용역,OO도시공사,"150,000,000",2026-06-12 오후 5:00,업종: 공공시설관리,https://example.com/notices/20260500010
11,20260500011,체육관 증축공사,공사,OO중학교,"980,000,000",2026-06-15 오전 10:00,업종: 건축공사업,https://example.com/notices/20260500011
12,20260500012,민원실 안내 키오스크 제조,물품,OO군청,"72,000,000",2026-05-30 오전 10:00,,https://example.com/notices/20260500012
13,20260500013,교통영향평가 컨설팅,용역,OO개발공사,"54,000,000",2026-06-20 오전 11:00,업종: 교통영향평가대행자,https://example.com/notices/20260500013
14,20260500014,청년지원사업 운영,내자,OO청년센터,,2026-06-18 오후 2:00,,https://example.com/notices/20260500014
15,20260500015,도로 포장 보수공사,공사,OO도로관리사업소,"450,000,000",2026-06-06 오전 10:00,업종: 포장공사업,https://example.com/notices/20260500015
16,20260500016,방범용 CCTV 장비 납품,물품,OO경찰서,"115,000,000",2026-06-09 오전 10:00,업종: 정보통신공사업,https://example.com/notices/20260500016
17,20260500017,건축물 안전진단 용역,용역,OO안전센터,"76,000,000",2026-06-11 오전 10:00,업종: 안전진단전문기관,https://example.com/notices/20260500017
18,20260500018,마을회관 신축공사,공사,OO면사무소,"680,000,000",2026-05-29 오전 10:00,업종: 건축공사업,https://example.com/notices/20260500018
19,20260500019,교육용 태블릿 물품 구매,물품,OO교육청,"132,000,000",2026-06-13 오전 10:00,,https://example.com/notices/20260500019
20,20260500020,공원 수목 유지관리,용역,OO공원녹지사업소,"88,000,000",2026-06-14 오전 10:00,업종: 조경식재공사업,https://example.com/notices/20260500020
21,20260500021,지역문화 행사 운영 지원,내자,OO문화원,,,,https://example.com/notices/20260500021
22,20260500022,기계설비공사 감리 용역,공사,OO공공건축센터,"57,000,000",2026-06-16 오전 10:00,업종: 건설엔지니어링업,https://example.com/notices/20260500022
